speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
eabowl1,Eastern Barn Owl,Tyto javanica,L28192914,"Tirora, Maharashtra, IN (Forest Office Quarter)",2025-10-01 21:08,1.0,21.4105592,79.9262893,True,False,True,S276676688,
spoowl1,Spotted Owlet,Athene brama,L28192914,"Tirora, Maharashtra, IN (Forest Office Quarter)",2025-10-01 21:08,4.0,21.4105592,79.9262893,True,False,True,S276676688,
indnig1,Indian Nightjar,Caprimulgus asiaticus,L14876450,"Panchawati, near Vetal tekdi",2025-10-01 20:30,1.0,18.532285,73.812265,True,False,False,S276787718,
magrob,Oriental Magpie-Robin,Copsychus saularis,L14876450,"Panchawati, near Vetal tekdi",2025-10-01 20:30,2.0,18.532285,73.812265,True,False,False,S276787718,
eurcoo,Eurasian Coot,Fulica atra,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,3.0,18.2711083,74.7953131,True,False,True,S276642788,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,2.0,18.2711083,74.7953131,True,False,True,S276642788,
whiter2,Whiskered Tern,Chlidonias hybrida,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,9.0,18.2711083,74.7953131,True,False,True,S276642788,
renibi1,Red-naped Ibis,Pseudibis papillosa,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,3.0,18.2711083,74.7953131,True,False,True,S276642788,
inpher1,Indian Pond-Heron,Ardeola grayii,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,6.0,18.2711083,74.7953131,True,False,True,S276642788,
graher1,Gray Heron,Ardea cinerea,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,5.0,18.2711083,74.7953131,True,False,True,S276642788,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,1.0,18.2711083,74.7953131,True,False,True,S276642788,
lotshr1,Long-tailed Shrike,Lanius schach,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,1.0,18.2711083,74.7953131,True,False,True,S276642788,
witswa1,Wire-tailed Swallow,Hirundo smithii,L53499101,"Kumbhargaon, Maharashtra, IN (18.271, 74.795)",2025-10-01 18:28,3.0,18.2711083,74.7953131,True,False,True,S276642788,
rocpig,Rock Pigeon,Columba livia,L7673320,Kumar Prerana Society,2025-10-01 18:06,2.0,18.5668294,73.8021585,True,False,False,S276649191,N
asikoe2,Asian Koel,Eudynamys scolopaceus,L7673320,Kumar Prerana Society,2025-10-01 18:06,2.0,18.5668294,73.8021585,True,False,False,S276649191,
litswi1,Little Swift,Apus affinis,L7673320,Kumar Prerana Society,2025-10-01 18:06,4.0,18.5668294,73.8021585,True,False,False,S276649191,
blakit1,Black Kite,Milvus migrans,L7673320,Kumar Prerana Society,2025-10-01 18:06,4.0,18.5668294,73.8021585,True,False,False,S276649191,
alepar2,Alexandrine Parakeet,Psittacula eupatria,L7673320,Kumar Prerana Society,2025-10-01 18:06,1.0,18.5668294,73.8021585,True,False,False,S276649191,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L7673320,Kumar Prerana Society,2025-10-01 18:06,3.0,18.5668294,73.8021585,True,False,False,S276649191,
spbfan1,Spot-breasted Fantail,Rhipidura albogularis,L7673320,Kumar Prerana Society,2025-10-01 18:06,1.0,18.5668294,73.8021585,True,False,False,S276649191,
labcro1,Large-billed Crow,Corvus macrorhynchos,L7673320,Kumar Prerana Society,2025-10-01 18:06,2.0,18.5668294,73.8021585,True,False,False,S276649191,
comtai1,Common Tailorbird,Orthotomus sutorius,L7673320,Kumar Prerana Society,2025-10-01 18:06,1.0,18.5668294,73.8021585,True,False,False,S276649191,
ashpri1,Ashy Prinia,Prinia socialis,L7673320,Kumar Prerana Society,2025-10-01 18:06,2.0,18.5668294,73.8021585,True,False,False,S276649191,
duscrm1,Dusky Crag-Martin,Ptyonoprogne concolor,L7673320,Kumar Prerana Society,2025-10-01 18:06,5.0,18.5668294,73.8021585,True,False,False,S276649191,
revbul,Red-vented Bulbul,Pycnonotus cafer,L7673320,Kumar Prerana Society,2025-10-01 18:06,2.0,18.5668294,73.8021585,True,False,False,S276649191,
gryfra,Gray Francolin,Ortygornis pondicerianus,L53498372,"Kalas, Maharashtra, IN (18.172, 74.793)",2025-10-01 18:03,8.0,18.172467,74.7928592,True,False,True,S276638161,
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,L53498372,"Kalas, Maharashtra, IN (18.172, 74.793)",2025-10-01 18:03,2.0,18.172467,74.7928592,True,False,True,S276638161,
aspswi1,Asian Palm Swift,Cypsiurus balasiensis,L53498372,"Kalas, Maharashtra, IN (18.172, 74.793)",2025-10-01 18:03,2.0,18.172467,74.7928592,True,False,True,S276638161,
brakit1,Brahminy Kite,Haliastur indus,L53498372,"Kalas, Maharashtra, IN (18.172, 74.793)",2025-10-01 18:03,1.0,18.172467,74.7928592,True,False,True,S276638161,
